Starting time: 2018.02.27 23:43:34
Using scheduler com.simulations.matrix.SimpleSchedulers$MinMinScheduler
First player,Second player,TimeFirst(in seconds)TimeSecond(in seconds)
55,235,2.562456,3.476650
55,240,2.562465,3.461353
55,245,2.562465,3.459953
55,250,2.562465,3.459132
55,255,2.562465,3.457092
55,260,2.562465,3.458555
55,265,2.562465,3.444359
55,270,2.562465,3.441097
55,275,2.560048,3.440873
55,280,2.562465,3.469438
55,285,2.562465,3.455764
55,290,2.562465,3.453487
55,295,2.562465,3.442359
55,300,2.562465,3.433251
55,305,2.562465,3.426840
55,310,2.558950,3.412403
55,315,2.562465,3.418885
55,320,2.562465,3.412057
55,325,2.562465,3.431512
55,330,2.560048,3.415706
55,335,2.562465,3.407705
55,340,2.562465,3.416465
55,345,2.562465,3.423145
55,350,2.562465,3.408015
55,355,2.572095,3.416096
55,360,2.562465,3.404516
55,365,2.562465,3.409669
55,370,2.562465,3.411933
55,375,2.562465,3.413429
55,380,2.562465,3.414564
55,385,2.562465,3.404460
55,390,2.562465,3.402616
55,395,2.562465,3.457713
55,400,2.562465,3.452793
55,405,2.562465,3.450620
55,410,2.562432,3.446838
55,415,2.558950,3.438736
55,420,2.562465,3.436885
55,425,2.562465,3.431689
55,430,2.562465,3.428489
55,435,2.562465,3.420721
55,440,2.562465,3.416497
55,445,2.562465,3.410293
55,450,2.560048,3.400412
55,455,2.562465,3.396887
55,460,2.562465,3.389771
55,465,2.562465,3.403372
55,470,2.562465,3.402861
55,475,2.562465,3.480485
55,480,2.562465,3.474765
55,485,2.562465,3.466801
55,490,2.562465,3.461005
55,495,2.560048,3.450183
55,500,2.562465,3.444108
55,505,2.562465,3.436717
55,510,2.562465,3.428989
55,515,2.562465,3.421202
55,520,2.562465,3.411596
55,525,2.562465,3.401815
55,530,2.562465,3.398531
55,535,2.562465,3.400365
55,540,2.562465,3.399247
55,545,2.562465,3.398872
55,550,2.560048,3.399924
55,555,2.580618,3.511293
55,560,2.562465,3.498272
55,565,2.562465,3.502727
55,570,2.562465,3.506715
55,575,2.562465,3.509862
55,580,2.562465,3.514163
55,585,2.562465,3.517372
